Order_ID,Order_Date,Region,Sales_Channel,Product_Category,Payment_Method,Units_Sold,Unit_Price,Discount,Customer_Rating,Delivery_Days,Inventory_Available,Gross_Sales,Net_Sales,Cost,Profit,Profit_Margin
RET-50060,2023-02-17 21:48:39.243604004,East,Store,Beauty,Cash,5,583.22,0.15,4.7,6.0,14,2916.1,2478.68,1234.39,1244.29,50.2
RET-50061,2023-02-18 17:17:57.196885428,West,Online,Furniture,Cash,14,,0.15,4.3,4.0,205,23255.12,19766.85,10534.8,9232.05,46.7
RET-50062,2023-02-19 12:47:15.150166852,North,Store,Clothing,Net Banking,3,688.01,0.0,4.1,5.0,141,2064.03,2064.03,1544.36,519.67,25.18
RET-50063,2023-02-20 08:16:33.103448276,North,Store,Office Supplies,Net Banking,14,517.38,0.15,5.0,7.0,123,7243.32,6156.82,4324.62,1832.2,29.76
RET-50064,2023-02-21 03:45:51.056729699,North,Store,Beauty,Net Banking,13,2168.14,0.1,4.1,2.0,53,28185.82,25367.24,19501.42,5865.82,23.12
RET-50065,2023-02-21 23:15:09.010011123,South,Store,Clothing,Credit Card,14,1587.36,0.0,3.2,7.0,107,22223.04,22223.04,17523.45,4699.59,21.15
RET-50066,2023-02-22 18:44:26.963292547,West,Wholesale,Beauty,Cash,12,158.8,0.0,3.3,4.0,42,1905.6,1905.6,1551.84,353.76,18.56
RET-50067,2023-02-23 14:13:44.916573971,West,Store,Furniture,Debit Card,8,659.47,0.0,3.1,8.0,114,5275.76,5275.76,3623.21,1652.55,31.32
RET-50068,2023-02-24 09:43:02.869855395,East,Store,Office Supplies,UPI,9,583.97,0.1,4.0,8.0,171,5255.73,4730.16,3194.36,1535.8,32.47
RET-50069,2023-02-25 05:12:20.823136819,West,Online,Office Supplies,Credit Card,3,1824.21,0.0,4.0,6.0,222,5472.63,5472.63,2654.68,2817.95,51.49
RET-50070,2023-02-26 00:41:38.776418243,East,Store,Beauty,Cash,5,3125.17,0.05,4.2,6.0,57,15625.85,14844.56,9515.98,5328.58,35.9
RET-50071,2023-02-26 20:10:56.729699666,East,Online,Beauty,Debit Card,7,4572.67,0.0,4.2,3.0,59,32008.69,32008.69,18425.63,13583.06,42.44
RET-50072,2023-02-27 15:40:14.682981090,South,Store,Beauty,Debit Card,14,1898.95,0.0,4.1,6.0,23,26585.3,26585.3,13320.03,13265.27,49.9
RET-50073,2023-02-28 11:09:32.636262514,North,Online,Electronics,UPI,12,588.55,0.0,5.0,5.0,166,7062.6,7062.6,4879.3,2183.3,30.91
RET-50074,2023-03-01 06:38:50.589543938,West,Online,Electronics,Cash,8,575.22,0.0,4.2,6.0,215,4601.76,4601.76,2279.71,2322.05,50.46
RET-50075,2023-03-02 02:08:08.542825362,West,Online,Furniture,Debit Card,9,646.0,0.15,3.5,7.0,90,5814.0,4941.9,3430.67,1511.23,30.58
RET-50076,2023-03-02 21:37:26.496106785,South,Online,Clothing,Debit Card,7,1649.44,0.1,3.7,4.0,86,11546.08,10391.47,8390.55,2000.92,19.26
RET-50077,2023-03-03 17:06:44.449388209,North,Wholesale,Electronics,Net Banking,6,2731.48,0.1,3.7,3.0,175,16388.88,14749.99,9170.36,5579.63,37.83
RET-50078,2023-03-04 12:36:02.402669633,North,Store,Office Supplies,UPI,13,345.0,0.2,4.0,4.0,103,4485.0,3588.0,2522.01,1065.99,29.71
RET-50079,2023-03-05 08:05:20.355951057,South,Online,Electronics,Debit Card,1,1783.06,0.1,3.1,5.0,72,1783.06,1604.75,775.39,829.36,51.68
RET-50080,2023-03-06 03:34:38.309232481,North,Wholesale,Electronics,Debit Card,5,2193.35,0.15,4.7,4.0,237,10966.75,9321.74,5601.69,3720.05,39.91
RET-50081,2023-03-06 23:03:56.262513904,North,Wholesale,Beauty,Cash,6,1473.59,0.1,3.2,5.0,188,8841.54,7957.39,4118.2,3839.19,48.25
RET-50082,2023-03-07 18:33:14.215795328,North,Store,Office Supplies,UPI,10,9834.26,0.05,4.3,5.0,207,98342.6,93425.47,52911.04,40514.43,43.37
RET-50083,2023-03-08 14:02:32.169076752,North,Online,Clothing,UPI,6,1699.33,0.1,4.6,4.0,145,10195.98,9176.38,4482.11,4694.27,51.16
RET-50084,2023-03-09 09:31:50.122358176,East,Online,Electronics,Cash,5,1225.61,0.05,4.5,7.0,67,6128.05,5821.65,3767.69,2053.96,35.28
RET-50085,2023-03-10 05:01:08.075639600,South,Wholesale,Furniture,Cash,2,1784.54,0.0,4.1,3.0,233,3569.08,3569.08,2656.4,912.68,25.57
RET-50086,2023-03-11 00:30:26.028921023,West,Store,Office Supplies,Debit Card,4,842.49,0.0,4.0,6.0,154,3369.96,3369.96,2455.93,914.03,27.12
RET-50087,2023-03-11 19:59:43.982202447,West,Online,Beauty,Credit Card,2,587.31,0.15,5.0,5.0,102,1174.62,998.43,813.27,185.16,18.55
RET-50088,2023-03-12 15:29:01.935483871,East,Online,Electronics,Net Banking,10,1578.92,0.05,4.5,4.0,152,15789.2,14999.74,11797.84,3201.9,21.35
RET-50089,2023-03-13 10:58:19.888765295,North,Store,Office Supplies,Net Banking,6,2540.04,0.15,3.2,6.0,238,15240.24,12954.2,9331.51,3622.69,27.97
RET-50090,2023-03-14 06:27:37.842046719,South,Online,Beauty,UPI,4,1030.06,0.05,4.4,1.0,229,4120.24,3914.23,2890.57,1023.66,26.15
RET-50091,2023-03-15 01:56:55.795328142,West,Store,Electronics,Credit Card,8,2190.3,0.0,3.3,5.0,20,17522.4,17522.4,11882.2,5640.2,32.19
RET-50092,2023-03-15 21:26:13.748609566,North,Wholesale,Electronics,Credit Card,7,939.95,0.1,4.5,5.0,200,6579.65,5921.68,2878.13,3043.55,51.4
RET-50093,2023-03-16 16:55:31.701890990,North,Online,Clothing,Cash,7,3465.05,0.0,4.5,4.0,16,24255.35,24255.35,17952.34,6303.01,25.99
RET-50094,2023-03-17 12:24:49.655172414,West,Store,Furniture,UPI,9,1379.79,0.1,5.0,4.0,123,12418.11,11176.3,7698.3,3478.0,31.12
RET-50095,2023-03-18 07:54:07.608453838,East,Wholesale,Office Supplies,Credit Card,9,1698.3,0.05,4.1,3.0,97,15284.7,14520.46,11577.33,2943.13,20.27
RET-50096,2023-03-19 03:23:25.561735261,North,Store,Beauty,UPI,3,1974.53,0.15,3.9,2.0,231,5923.59,5035.05,2735.87,2299.18,45.66
RET-50097,2023-03-19 22:52:43.515016685,West,Online,Beauty,UPI,3,498.31,0.0,3.8,2.0,108,1494.93,1494.93,1191.23,303.7,20.32
RET-50098,2023-03-20 18:22:01.468298109,East,Online,Office Supplies,Credit Card,11,1066.03,0.0,4.4,4.0,115,11726.33,11726.33,6277.02,5449.31,46.47
RET-50099,2023-03-21 13:51:19.421579533,East,Store,Office Supplies,UPI,14,3969.6,0.0,4.4,1.0,89,55574.4,55574.4,27890.76,27683.64,49.81
RET-50100,2023-03-22 09:20:37.374860957,South,Store,Furniture,UPI,8,1228.8,0.15,4.3,3.0,89,9830.4,8355.84,5808.67,2547.17,30.48
RET-50101,2023-03-23 04:49:55.328142380,South,Store,Office Supplies,Credit Card,7,2986.24,0.05,4.8,6.0,174,20903.68,19858.5,11720.83,8137.67,40.98
RET-50102,2023-03-24 00:19:13.281423804,West,Store,Electronics,Credit Card,9,2131.83,0.1,4.4,4.0,114,19186.47,17267.82,11415.78,5852.04,33.89
RET-50103,2023-03-24 19:48:31.234705228,South,Store,Beauty,Debit Card,1,365.79,0.05,3.1,2.0,98,365.79,347.5,211.37,136.13,39.17
RET-50104,2023-03-25 15:17:49.187986652,East,Store,Clothing,Debit Card,6,1900.49,0.0,3.7,7.0,62,11402.94,11402.94,6173.21,5229.73,45.86
RET-50105,2023-03-26 10:47:07.141268076,,Online,Office Supplies,Net Banking,6,591.52,0.0,4.1,3.0,201,3549.12,3549.12,2737.62,811.5,22.86
RET-50106,2023-03-27 06:16:25.094549499,South,Store,Clothing,Debit Card,6,1422.08,0.1,4.3,,128,8532.48,7679.23,5781.21,1898.02,24.72
RET-50107,2023-03-28 01:45:43.047830923,East,Wholesale,Electronics,Net Banking,11,915.93,0.1,3.3,3.0,234,10075.23,9067.71,5235.2,3832.51,42.27
RET-50108,2023-03-28 21:15:01.001112347,South,Online,Electronics,UPI,7,1217.09,0.2,4.8,6.0,169,8519.63,6815.7,4045.51,2770.19,40.64
RET-50109,2023-03-29 16:44:18.954393771,South,Store,Beauty,UPI,12,1145.97,0.15,3.8,5.0,248,13751.64,11688.89,8653.8,3035.09,25.97
RET-50110,2023-03-30 12:13:36.907675195,East,Online,Beauty,UPI,7,1405.03,0.15,4.6,4.0,36,9835.21,8359.93,5308.54,3051.39,36.5
RET-50111,2023-03-31 07:42:54.860956619,West,Online,Furniture,Cash,1,896.66,0.0,4.6,6.0,85,896.66,896.66,643.93,252.73,28.19
RET-50112,2023-04-01 03:12:12.814238042,East,Online,Electronics,UPI,10,498.67,0.1,3.6,,248,4986.7,4488.03,3553.81,934.22,20.82
RET-50113,2023-04-01 22:41:30.767519466,North,Store,Beauty,Credit Card,12,622.41,0.0,4.5,5.0,229,7468.92,7468.92,5710.43,1758.49,23.54
RET-50114,2023-04-02 18:10:48.720800890,North,Store,Office Supplies,Cash,9,2176.85,0.15,4.8,3.0,14,19591.65,16652.9,11377.03,5275.87,31.68
RET-50115,2023-04-03 13:40:06.674082314,East,Store,Electronics,Credit Card,14,3681.21,0.05,4.1,5.0,194,51536.94,48960.09,36618.04,12342.05,25.21
RET-50116,2023-04-04 09:09:24.627363738,South,Online,Electronics,Credit Card,6,1395.84,0.05,4.5,3.0,62,8375.04,7956.29,4320.67,3635.62,45.69
RET-50117,2023-04-05 04:38:42.580645161,North,Online,Office Supplies,Debit Card,12,2074.7,0.05,3.3,5.0,125,24896.4,23651.58,18131.74,5519.84,23.34
RET-50118,2023-04-06 00:08:00.533926585,West,Online,Clothing,Net Banking,1,2264.32,0.0,3.3,1.0,19,2264.32,2264.32,1278.48,985.84,43.54
RET-50119,2023-04-06 19:37:18.487208009,South,Wholesale,Furniture,Credit Card,1,493.88,0.2,4.3,5.0,76,493.88,395.1,246.47,148.63,37.62
RET-50120,2023-04-07 15:06:36.440489433,South,Online,Beauty,Credit Card,12,355.26,0.1,,6.0,249,4263.12,3836.81,2635.99,1200.82,31.3
RET-50121,2023-04-08 10:35:54.393770857,East,Store,Beauty,Net Banking,13,1160.68,0.1,3.6,5.0,58,15088.84,13579.96,8016.89,5563.07,40.97
RET-50122,2023-04-09 06:05:12.347052280,East,Online,Furniture,Cash,8,350.75,0.15,4.0,4.0,191,2806.0,2385.1,1815.34,569.76,23.89
RET-50123,2023-04-10 01:34:30.300333704,North,Store,Electronics,Credit Card,11,1005.22,0.1,4.5,4.0,99,11057.42,9951.68,6787.83,3163.85,31.79
RET-50124,2023-04-10 21:03:48.253615128,South,Wholesale,Clothing,Cash,5,459.08,0.15,4.9,4.0,53,2295.4,1951.09,1566.54,384.55,19.71
RET-50125,2023-04-11 16:33:06.206896552,West,Online,Furniture,Credit Card,11,799.87,0.15,4.7,1.0,37,8798.57,7478.78,4299.16,3179.62,42.52
RET-50126,2023-04-12 12:02:24.160177976,East,Store,Clothing,Cash,7,736.42,0.0,3.2,6.0,127,5154.94,5154.94,3701.95,1452.99,28.19
RET-50127,2023-04-13 07:31:42.113459399,North,Online,Furniture,UPI,5,1682.57,0.1,3.8,5.0,105,8412.85,7571.56,4030.93,3540.63,46.76
RET-50128,2023-04-14 03:01:00.066740823,West,Wholesale,Beauty,Debit Card,2,787.9,0.0,4.3,3.0,150,1575.8,1575.8,848.3,727.5,46.17
RET-50129,2023-04-14 22:30:18.020022247,North,Wholesale,Clothing,Cash,3,569.09,0.05,3.8,4.0,149,1707.27,1621.91,1062.85,559.06,34.47
RET-50130,2023-04-15 17:59:35.973303670,North,Online,Office Supplies,Credit Card,13,1238.68,0.05,4.3,7.0,229,16102.84,15297.7,12028.66,3269.04,21.37
RET-50131,2023-04-16 13:28:53.926585094,North,Online,Electronics,Debit Card,7,8256.42,0.15,3.4,2.0,78,57794.94,49125.7,31469.21,17656.49,35.94
RET-50132,2023-04-17 08:58:11.879866518,West,Store,Office Supplies,UPI,14,1653.06,0.05,3.4,5.0,54,23142.84,21985.7,14723.81,7261.89,33.03
RET-50133,2023-04-18 04:27:29.833147942,North,Wholesale,Clothing,UPI,5,338.96,0.1,5.0,6.0,226,1694.8,1525.32,1225.24,300.08,19.67
RET-50134,2023-04-18 23:56:47.786429366,West,Store,Electronics,UPI,1,1273.38,0.1,3.7,3.0,143,1273.38,1146.04,629.43,516.61,45.08
RET-50135,2023-04-19 19:26:05.739710790,East,Store,Beauty,Net Banking,4,6382.34,0.15,4.0,5.0,189,25529.36,21699.96,16623.52,5076.44,23.39
RET-50136,2023-04-20 14:55:23.692992214,East,Store,Electronics,Debit Card,6,1339.46,0.15,4.8,3.0,135,8036.76,6831.25,5054.76,1776.49,26.01
RET-50137,2023-04-21 10:24:41.646273638,West,Online,Office Supplies,UPI,10,2758.69,0.0,4.0,7.0,232,27586.9,27586.9,19494.41,8092.49,29.33
RET-50138,2023-04-22 05:53:59.599555062,North,Online,Electronics,Net Banking,11,2469.2,0.15,4.9,4.0,99,27161.2,23087.02,14060.09,9026.93,39.1
RET-50139,2023-04-23 01:23:17.552836486,West,Online,Electronics,Credit Card,11,2598.06,0.0,5.0,3.0,19,28578.66,28578.66,22132.92,6445.74,22.55
RET-50140,2023-04-23 20:52:35.506117908,West,Online,Electronics,Credit Card,5,2375.81,0.1,4.2,5.0,141,11879.05,10691.14,8656.79,2034.35,19.03
RET-50141,2023-04-24 16:21:53.459399332,West,Online,Furniture,Net Banking,6,1442.02,0.0,5.0,1.0,91,8652.12,8652.12,5286.6,3365.52,38.9
RET-50142,2023-04-25 11:51:11.412680756,East,Wholesale,Office Supplies,Net Banking,8,1064.51,0.0,3.8,4.0,231,8516.08,8516.08,5295.31,3220.77,37.82
RET-50143,2023-04-26 07:20:29.365962180,West,Store,Electronics,Net Banking,9,1001.27,0.15,2.5,4.0,103,9011.43,7659.72,5593.66,2066.06,26.97
RET-50144,2023-04-27 02:49:47.319243604,South,Wholesale,Beauty,Credit Card,6,1297.58,0.15,4.3,8.0,177,7785.48,6617.66,4356.59,2261.07,34.17
RET-50145,2023-04-27 22:19:05.272525028,North,Online,Beauty,Cash,3,1583.91,0.1,4.4,6.0,40,4751.73,4276.56,2353.18,1923.38,44.97
RET-50146,2023-04-28 17:48:23.225806452,North,Online,Beauty,Net Banking,11,523.68,0.0,3.2,6.0,136,5760.48,5760.48,4508.2,1252.28,21.74
RET-50147,2023-04-29 13:17:41.179087876,West,Online,Electronics,Debit Card,8,1000.02,0.05,3.2,3.0,14,8000.16,7600.15,5393.95,2206.2,29.03
RET-50148,2023-04-30 08:46:59.132369300,South,Online,Furniture,Net Banking,14,1168.78,0.05,3.5,2.0,57,16362.92,15544.77,9792.58,5752.19,37.0
RET-50149,2023-05-01 04:16:17.085650724,North,Store,Electronics,Net Banking,14,1287.15,0.05,3.0,2.0,113,18020.1,17119.09,10615.37,6503.72,37.99
RET-50150,2023-05-01 23:45:35.038932146,North,Store,Office Supplies,UPI,13,981.2,0.0,4.0,6.0,62,12755.6,12755.6,8856.89,3898.71,30.56
RET-50151,2023-05-02 19:14:52.992213570,West,Store,Office Supplies,Net Banking,14,2026.85,0.05,3.6,3.0,237,28375.9,26957.1,15772.2,11184.9,41.49
RET-50152,2023-05-03 14:44:10.945494994,South,Wholesale,Beauty,Cash,9,1121.57,0.0,5.0,2.0,149,10094.13,10094.13,6970.63,3123.5,30.94
RET-50153,2023-05-04 10:13:28.898776418,South,Online,Beauty,Cash,5,940.15,0.0,4.8,6.0,208,4700.75,4700.75,2443.1,2257.65,48.03
RET-50154,2023-05-05 05:42:46.852057842,North,Wholesale,Electronics,Net Banking,3,537.06,0.15,3.9,6.0,130,1611.18,1369.5,839.61,529.89,38.69
RET-50155,2023-05-06 01:12:04.805339266,West,Wholesale,Beauty,Net Banking,2,723.98,0.1,3.9,4.0,215,1447.96,1303.16,983.4,319.76,24.54
RET-50156,2023-05-06 20:41:22.758620690,East,Online,Office Supplies,Credit Card,14,1393.15,0.15,5.0,4.0,220,19504.1,16578.48,8740.33,7838.15,47.28
RET-50157,2023-05-07 16:10:40.711902114,West,Store,Furniture,Credit Card,4,1296.65,0.1,4.6,4.0,128,5186.6,4667.94,3352.52,1315.42,28.18
RET-50158,2023-05-08 11:39:58.665183538,East,Store,Office Supplies,Debit Card,1,,0.05,3.1,3.0,166,318.91,302.96,218.97,83.99,27.72
RET-50159,2023-05-09 07:09:16.618464962,East,Online,Beauty,UPI,1,2188.29,0.1,4.2,3.0,213,2188.29,1969.46,1441.62,527.84,26.8
RET-50160,2023-05-10 02:38:34.571746384,North,Online,Beauty,Net Banking,5,760.05,0.15,4.3,5.0,82,3800.25,3230.21,1586.18,1644.03,50.9
RET-50161,2023-05-10 22:07:52.525027808,South,Online,Office Supplies,UPI,14,667.69,0.15,4.2,4.0,126,9347.66,7945.51,6046.41,1899.1,23.9
RET-50162,2023-05-11 17:37:10.478309232,East,Wholesale,Clothing,Debit Card,4,2476.59,0.05,4.7,3.0,204,9906.36,9411.04,5349.24,4061.8,43.16
RET-50163,2023-05-12 13:06:28.431590656,East,Online,Office Supplies,Net Banking,2,2556.14,0.15,3.8,6.0,81,5112.28,4345.44,2342.2,2003.24,46.1
RET-50164,2023-05-13 08:35:46.384872080,North,Online,Clothing,Cash,10,755.71,0.1,2.9,8.0,93,7557.1,6801.39,3504.88,3296.51,48.47
RET-50165,2023-05-14 04:05:04.338153504,North,Online,Office Supplies,Debit Card,1,952.34,0.0,4.7,3.0,15,952.34,952.34,650.35,301.99,31.71
