Customer_ID,Age,Annual_Income,Tenure_Months,Monthly_Spend,Support_Calls,Satisfaction_Score,Contract_Type,Internet_Service,Churn
20067,61,57913.0,51,1985.0,1,4.1,Annual,DSL,0
20068,35,74381.0,56,1785.0,3,2.7,Monthly,Fiber,0
20069,21,60215.0,44,1972.0,1,4.7,Monthly,Fiber,0
20070,40,62884.0,9,2557.0,1,2.8,Monthly,DSL,0
20071,56,79931.0,9,2126.0,3,3.9,Monthly,None,0
20072,27,29125.0,29,1923.0,2,2.1,Annual,Fiber,1
20073,40,41663.0,33,3227.0,0,1.8,Monthly,Fiber,0
20074,24,38321.0,72,2120.0,0,3.9,Two Year,DSL,0
20075,50,22995.0,21,3810.0,2,2.9,Annual,Fiber,0
20076,40,52791.0,14,2264.0,3,1.8,Two Year,Fiber,0
20077,33,78490.0,69,3450.0,2,4.1,Annual,DSL,0
20078,28,59872.0,12,2450.0,0,5.0,Annual,DSL,0
20079,45,68560.0,2,2874.0,4,4.9,Annual,DSL,0
20080,50,84606.0,31,1693.0,2,3.4,Monthly,DSL,0
20081,63,88898.0,29,1602.0,2,3.6,Monthly,Fiber,0
20082,38,63756.0,45,2522.0,1,4.4,Annual,None,0
20083,25,89365.0,64,2892.0,1,4.6,Monthly,Fiber,0
20084,57,66658.0,68,2228.0,1,3.3,Monthly,Fiber,0
20085,48,49927.0,21,1300.0,3,3.6,Two Year,DSL,0
20086,51,54301.0,71,1248.0,0,3.9,Monthly,DSL,0
20087,22,,46,1201.0,0,4.1,Monthly,DSL,0
20088,32,49014.0,6,963.0,2,3.5,Annual,Fiber,0
20089,54,58556.0,68,2277.0,1,3.5,Monthly,None,0
20090,57,79465.0,10,2988.0,3,4.8,Two Year,DSL,0
20091,38,95974.0,43,2191.0,3,4.7,Monthly,DSL,0
20092,56,40121.0,57,618.0,0,4.0,Two Year,None,0
20093,58,72071.0,18,2066.0,6,5.0,Annual,Fiber,0
20094,36,46270.0,20,2086.0,2,3.3,Monthly,DSL,0
20095,61,73545.0,35,3667.0,5,5.0,Monthly,DSL,1
20096,31,62640.0,64,1180.0,0,4.1,Monthly,DSL,0
20097,29,32044.0,17,1927.0,1,5.0,Monthly,DSL,0
20098,50,,48,3394.0,0,2.5,Monthly,DSL,0
20099,48,54110.0,33,2515.0,1,3.0,Two Year,Fiber,0
20100,24,55390.0,9,2594.0,2,4.0,Monthly,Fiber,0
20101,57,45744.0,52,2280.0,2,4.0,Annual,None,0
20102,27,53223.0,60,2431.0,5,5.0,Monthly,None,0
20103,56,72702.0,42,2744.0,3,3.0,Two Year,None,0
20104,18,61594.0,13,1633.0,4,4.4,Monthly,Fiber,0
20105,56,70916.0,12,2815.0,1,4.6,Monthly,Fiber,0
20106,55,71515.0,31,1239.0,2,4.2,Annual,DSL,0
20107,55,88772.0,37,2430.0,3,2.7,Monthly,DSL,0
20108,49,58830.0,40,2325.0,4,4.9,Annual,Fiber,0
20109,40,38417.0,18,1769.0,1,4.7,Monthly,DSL,0
20110,51,84210.0,37,2184.0,2,4.1,Monthly,Fiber,0
20111,31,59033.0,22,1764.0,1,3.8,Monthly,Fiber,0
20112,55,85063.0,50,1450.0,1,3.8,Annual,Fiber,0
20113,44,71901.0,58,1952.0,4,3.5,Monthly,Fiber,0
20114,40,62640.0,47,1427.0,4,4.2,Monthly,Fiber,0
20115,42,71278.0,1,2426.0,0,3.6,Monthly,None,0
20116,45,100118.0,72,1395.0,1,2.8,Monthly,DSL,0
20117,19,102386.0,2,2698.0,3,2.7,Monthly,None,0
20118,24,66249.0,72,1373.0,0,2.9,Two Year,Fiber,0
20119,29,67883.0,3,1804.0,2,3.8,Monthly,Fiber,1
20120,23,84372.0,38,1763.0,2,3.6,Annual,Fiber,0
20121,39,49778.0,8,3128.0,3,3.8,Monthly,DSL,0
20122,50,70995.0,7,2431.0,4,4.1,Monthly,Fiber,1
20123,49,64534.0,50,2052.0,2,3.0,Monthly,DSL,0
20124,40,70650.0,53,2549.0,4,4.9,Monthly,DSL,0
20125,59,49999.0,9,725.0,5,3.4,Monthly,DSL,0
20126,45,36388.0,71,2170.0,0,3.2,Monthly,Fiber,1
20127,21,27686.0,24,3598.0,0,4.0,Monthly,Fiber,0
20128,54,44887.0,23,2293.0,2,1.9,Two Year,Fiber,0
20129,45,56744.0,22,2248.0,1,2.9,Monthly,Fiber,0
20130,48,59723.0,34,2584.0,1,4.5,Monthly,DSL,0
20131,45,99870.0,13,2827.0,2,2.0,Monthly,Fiber,0
20132,44,84908.0,31,802.0,2,4.6,Monthly,DSL,0
20133,22,47682.0,16,1022.0,5,5.0,Annual,Fiber,0
20134,44,71259.0,4,2347.0,0,3.3,Monthly,None,0
20135,56,57673.0,27,1700.0,4,3.9,Annual,None,0
20136,32,59881.0,49,3118.0,2,4.6,Monthly,Fiber,0
20137,46,68336.0,55,1979.0,1,3.2,Monthly,DSL,0
20138,19,76145.0,26,846.0,3,4.4,Two Year,Fiber,1
20139,34,58893.0,24,1312.0,1,3.0,Monthly,DSL,1
20140,38,84149.0,57,500.0,4,3.2,Annual,DSL,0
20141,65,44445.0,50,2036.0,1,2.9,Monthly,DSL,0
20142,28,65114.0,60,2068.0,1,3.9,Two Year,DSL,0
20143,31,111758.0,66,1903.0,0,4.6,Monthly,Fiber,1
20144,37,69015.0,60,2955.0,4,3.4,Monthly,DSL,0
20145,65,90798.0,68,3039.0,1,2.5,Annual,DSL,0
20146,58,66647.0,30,2081.0,0,2.6,Monthly,Fiber,0
20147,19,75454.0,29,706.0,2,4.0,Monthly,Fiber,0
20148,29,63978.0,24,2632.0,4,5.0,Two Year,DSL,0
20149,57,61933.0,17,2589.0,2,4.0,Annual,DSL,0
20150,20,50969.0,54,2417.0,1,3.3,Annual,Fiber,0
20151,59,72745.0,52,2887.0,1,4.3,Annual,None,0
20152,31,49672.0,58,1385.0,1,3.4,,DSL,0
20153,62,76981.0,13,3606.0,2,3.3,Two Year,Fiber,0
20154,32,84535.0,36,1528.0,3,2.7,Annual,Fiber,1
20155,38,71598.0,16,2724.0,1,4.9,Monthly,DSL,0
20156,49,59848.0,65,1019.0,2,1.3,Monthly,DSL,0
20157,24,73171.0,20,1549.0,4,4.3,Annual,DSL,0
20158,44,59444.0,11,3261.0,2,3.2,Annual,Fiber,0
20159,42,81840.0,42,2017.0,1,3.2,Monthly,DSL,0
20160,55,32035.0,64,2788.0,2,5.0,Monthly,DSL,0
20161,65,58959.0,66,2366.0,4,3.0,Monthly,DSL,0
20162,49,29165.0,7,2127.0,1,3.0,Monthly,Fiber,0
20163,37,38089.0,24,3155.0,5,3.5,Annual,DSL,0
20164,37,89550.0,12,2034.0,3,4.0,Monthly,Fiber,0
20165,38,81113.0,23,953.0,1,3.2,Annual,Fiber,0
20166,57,52049.0,39,1638.0,1,2.2,Annual,DSL,0
20167,33,37955.0,21,2586.0,4,2.8,Two Year,DSL,0
20168,26,20000.0,5,2477.0,1,4.8,Monthly,Fiber,0
20169,34,55217.0,37,1103.0,2,3.7,Two Year,DSL,0
20170,19,108567.0,4,1693.0,3,4.0,Annual,Fiber,0
20171,23,72828.0,17,1793.0,6,3.4,Annual,Fiber,0
20172,22,54928.0,1,1944.0,4,3.0,Monthly,Fiber,0
20173,55,73371.0,7,1237.0,1,5.0,Monthly,Fiber,0
20174,52,36903.0,32,1760.0,2,3.4,Annual,DSL,1
20175,51,59648.0,62,1690.0,1,3.2,Monthly,DSL,0
20176,40,66791.0,56,2740.0,3,4.6,Monthly,DSL,0
20177,52,63450.0,8,2766.0,3,2.9,Annual,Fiber,0
20178,25,79235.0,3,2098.0,2,3.1,Annual,Fiber,0
20179,61,71204.0,25,1926.0,4,3.6,Monthly,Fiber,1
20180,42,77030.0,47,2298.0,2,3.6,Monthly,DSL,0
20181,63,52609.0,54,1628.0,2,3.8,Monthly,Fiber,0
20182,25,81161.0,60,1397.0,2,5.0,Two Year,Fiber,0
20183,41,94321.0,25,1542.0,6,3.9,Two Year,DSL,0
20184,51,47537.0,13,1756.0,1,1.5,Monthly,DSL,0
20185,41,49021.0,2,1386.0,3,3.9,Monthly,Fiber,1
20186,39,89044.0,11,2313.0,3,3.6,Monthly,Fiber,0
20187,25,61556.0,5,2711.0,2,3.6,Monthly,DSL,0
20188,36,90269.0,62,1089.0,3,3.8,Two Year,Fiber,0
20189,29,57034.0,20,2218.0,1,3.6,Monthly,Fiber,0
20190,32,91191.0,60,2046.0,1,3.6,Monthly,DSL,0
20191,50,67367.0,40,2439.0,1,4.2,Monthly,Fiber,0
20192,48,69648.0,39,2191.0,3,3.1,Monthly,Fiber,0
20193,47,93165.0,33,1182.0,1,2.7,Annual,Fiber,0
20194,35,58488.0,59,1316.0,2,5.0,Annual,Fiber,0
20195,64,48060.0,4,2221.0,2,3.0,Annual,Fiber,0
20196,22,56926.0,7,2920.0,2,3.7,Monthly,Fiber,1
20197,34,73142.0,31,650.0,1,2.3,Two Year,DSL,0
20198,23,36816.0,29,2442.0,1,3.7,Monthly,Fiber,0
20199,34,76474.0,40,3033.0,2,,Annual,DSL,0
20200,64,55302.0,54,2093.0,2,3.2,Two Year,None,0
20201,35,85661.0,43,2585.0,2,4.5,Monthly,Fiber,0
20202,61,21903.0,19,1708.0,1,4.0,Two Year,Fiber,0
20203,41,50842.0,24,2116.0,0,4.1,Monthly,DSL,0
20204,51,34644.0,55,1065.0,3,2.0,Annual,None,0
20205,39,50128.0,15,559.0,6,5.0,Monthly,DSL,0
20206,30,69458.0,37,2860.0,1,2.5,Monthly,Fiber,0
20207,54,61774.0,39,1511.0,1,5.0,Monthly,Fiber,0
20208,64,60439.0,55,1881.0,5,4.5,Monthly,Fiber,0
20209,30,62135.0,52,1229.0,2,4.1,Monthly,DSL,0
20210,55,68661.0,34,1213.0,3,2.8,Monthly,DSL,1
20211,30,46846.0,23,2078.0,1,3.7,Annual,Fiber,0
20212,52,77723.0,27,1689.0,0,3.2,Monthly,DSL,0
20213,55,76928.0,30,2465.0,0,3.6,Monthly,Fiber,0
20214,39,71931.0,16,2517.0,2,3.4,Two Year,DSL,0
20215,53,75018.0,46,2425.0,4,1.8,Two Year,Fiber,0
20216,31,70336.0,16,2367.0,1,4.6,Monthly,DSL,0
20217,21,101631.0,47,3304.0,5,3.5,Monthly,DSL,1
20218,22,63432.0,55,1453.0,4,3.2,Annual,DSL,0
20219,39,59473.0,70,2162.0,1,3.1,Annual,Fiber,0
20220,61,51437.0,9,2993.0,1,,Monthly,DSL,0
20221,24,46419.0,55,3085.0,1,2.8,,DSL,0
20222,39,42600.0,7,1205.0,1,1.6,,Fiber,0
20223,51,49002.0,25,1981.0,2,4.0,Monthly,Fiber,1
20224,27,63728.0,13,3151.0,0,4.1,Annual,DSL,0
20225,52,71017.0,12,2556.0,2,3.4,Annual,Fiber,0
20226,32,65921.0,13,2337.0,2,2.6,Annual,Fiber,0
20227,56,51220.0,4,2048.0,1,,Monthly,Fiber,0
20228,45,81203.0,60,1931.0,4,2.3,Monthly,Fiber,0
20229,44,78309.0,5,2402.0,2,2.7,Monthly,Fiber,0
20230,26,62126.0,29,2023.0,3,2.9,Monthly,DSL,0
20231,40,53248.0,51,2170.0,2,4.4,Monthly,Fiber,0
20232,59,74872.0,72,2255.0,1,3.3,Monthly,DSL,1
20233,18,68384.0,62,1725.0,3,3.2,Monthly,Fiber,1
20234,54,38934.0,10,2572.0,1,5.0,Annual,Fiber,0
20235,41,63776.0,72,4240.0,1,3.9,Monthly,Fiber,0
20236,52,69717.0,48,956.0,2,3.9,Monthly,DSL,0
20237,49,48805.0,13,2427.0,2,3.3,Annual,None,0
20238,38,68417.0,33,1668.0,5,3.1,Monthly,Fiber,0
20239,32,38813.0,67,2604.0,2,1.6,Two Year,Fiber,0
20240,48,89051.0,29,2233.0,0,4.5,Monthly,Fiber,0
20241,24,87463.0,14,2733.0,1,4.0,Monthly,Fiber,1
20242,46,60455.0,64,3023.0,3,3.4,Two Year,DSL,0
20243,22,71542.0,69,2335.0,2,3.5,Annual,Fiber,0
20244,49,21621.0,71,2992.0,1,4.3,Annual,None,0
20245,48,44186.0,69,559.0,1,2.2,Annual,DSL,0
20246,22,59712.0,63,3313.0,2,3.1,Monthly,Fiber,0
20247,54,45702.0,33,2463.0,1,2.6,Annual,DSL,0
20248,37,77859.0,14,2954.0,2,5.0,Two Year,Fiber,1
20249,55,100951.0,45,1346.0,1,4.4,Two Year,DSL,0
20250,19,43821.0,16,1618.0,1,1.6,Monthly,Fiber,0
20251,26,49926.0,35,2302.0,0,2.2,Monthly,DSL,0
20252,41,69238.0,48,2188.0,2,3.5,Annual,Fiber,0
20253,27,94000.0,69,2398.0,2,3.2,Monthly,Fiber,0
20254,33,,21,2959.0,2,2.4,Monthly,DSL,0
20255,49,69483.0,19,964.0,3,5.0,Monthly,Fiber,0
20256,24,97783.0,53,2882.0,4,3.9,Monthly,Fiber,0
20257,50,35268.0,1,2206.0,3,4.0,Monthly,DSL,0
20258,22,41941.0,41,2057.0,3,3.0,Monthly,Fiber,0
20259,26,57375.0,54,1170.0,2,4.3,Monthly,DSL,0
20260,46,55629.0,40,2552.0,2,3.3,Monthly,DSL,0
20261,56,79627.0,28,510.0,1,3.3,Two Year,DSL,0
20262,26,69350.0,60,2654.0,0,4.1,Monthly,Fiber,0
20263,32,33051.0,27,1156.0,3,2.1,Monthly,Fiber,0
20264,62,74277.0,52,2237.0,2,5.0,Monthly,None,0
20265,65,54604.0,34,2117.0,4,3.8,Monthly,Fiber,0
20266,45,87940.0,2,3019.0,0,4.8,,Fiber,0
20267,39,53703.0,39,2075.0,1,2.6,Two Year,Fiber,0
20268,34,53541.0,4,1714.0,3,2.8,Monthly,Fiber,1
20269,47,74740.0,68,1845.0,1,2.6,Monthly,DSL,0
20270,46,78733.0,44,3091.0,4,3.8,Monthly,DSL,0
20271,32,73066.0,27,2575.0,1,3.7,Monthly,DSL,0
20272,19,34659.0,36,1930.0,3,3.2,Monthly,DSL,0
20273,25,74685.0,45,2034.0,0,2.7,Monthly,Fiber,0
20274,64,46382.0,19,1103.0,4,2.5,Monthly,Fiber,1
20275,38,69235.0,21,2472.0,2,3.6,Annual,Fiber,0
20276,41,39373.0,31,968.0,1,3.2,Monthly,DSL,0
20277,40,73034.0,19,2726.0,1,3.0,Monthly,Fiber,0
20278,55,50481.0,55,2290.0,2,5.0,Monthly,DSL,0
20279,21,41913.0,8,3871.0,5,3.5,Monthly,Fiber,1
20280,21,77849.0,60,1430.0,3,4.7,Monthly,DSL,0
20281,31,69350.0,26,2128.0,1,3.1,Monthly,DSL,0
20282,41,53948.0,41,3459.0,1,3.8,Monthly,DSL,0
20283,50,91121.0,12,3034.0,1,,Monthly,Fiber,0
20284,41,57068.0,28,1713.0,3,2.1,Annual,None,0
20285,39,65578.0,55,2357.0,3,4.9,Two Year,Fiber,0
20286,63,69840.0,20,2201.0,2,3.5,Monthly,Fiber,1
20287,25,53846.0,10,2397.0,2,4.3,Monthly,Fiber,0
20288,45,73480.0,38,1711.0,1,2.9,Annual,Fiber,0
20289,44,55398.0,12,2137.0,2,3.5,Annual,DSL,0
20290,40,57591.0,23,1081.0,0,2.8,Monthly,Fiber,0
20291,56,89528.0,33,2295.0,4,4.7,Monthly,Fiber,0
20292,30,46269.0,41,2515.0,3,3.9,Monthly,DSL,0
20293,63,21570.0,47,2041.0,1,3.9,Annual,DSL,0
20294,33,93997.0,49,1069.0,3,4.8,Monthly,DSL,0
20295,44,110888.0,61,2892.0,1,4.6,Monthly,DSL,0
20296,42,57705.0,5,2455.0,3,4.3,Monthly,Fiber,0
20297,58,,27,1692.0,1,2.3,Monthly,DSL,0
20298,39,59411.0,1,2004.0,1,3.0,Monthly,Fiber,0
20299,31,59848.0,1,1150.0,3,2.7,Annual,Fiber,0
20300,19,61581.0,16,1482.0,1,4.3,Monthly,Fiber,0
20301,35,44959.0,44,1824.0,3,3.8,Monthly,DSL,0
20302,57,75432.0,65,3060.0,5,2.3,Monthly,Fiber,1
20303,18,74441.0,56,1752.0,1,3.4,Annual,DSL,0
20304,61,38101.0,47,2648.0,4,2.3,Monthly,Fiber,0
20305,44,77586.0,57,1823.0,1,3.6,Monthly,Fiber,1
20306,24,101948.0,13,2374.0,2,2.1,Monthly,Fiber,1
20307,32,68095.0,61,2101.0,2,4.1,Annual,Fiber,0
20308,44,58928.0,65,2811.0,2,3.9,Annual,Fiber,0
20309,33,62444.0,7,1826.0,2,5.0,Two Year,DSL,0
20310,23,76075.0,34,1099.0,6,4.4,Annual,Fiber,0
20311,49,33848.0,60,1233.0,2,3.2,Monthly,Fiber,1
20312,50,67959.0,35,1828.0,0,4.3,Monthly,DSL,0
20313,23,57972.0,61,1326.0,3,2.3,Monthly,Fiber,0
20314,31,98261.0,68,2487.0,1,2.7,Annual,Fiber,0
20315,29,61865.0,35,1874.0,7,3.9,Annual,Fiber,1
20316,49,95022.0,5,3862.0,0,1.7,Monthly,Fiber,0
20317,53,45133.0,25,984.0,1,3.6,Two Year,Fiber,0
20318,52,75571.0,16,2343.0,2,2.7,Monthly,DSL,0
20319,63,70749.0,35,1410.0,4,3.7,Monthly,Fiber,0
20320,54,49357.0,43,1855.0,1,2.6,Monthly,DSL,0
20321,33,68193.0,34,2299.0,2,4.0,Two Year,Fiber,0
20322,23,86825.0,15,572.0,3,3.6,Two Year,DSL,0
20323,47,59172.0,22,2366.0,1,4.9,Monthly,DSL,0
20324,61,34545.0,49,3532.0,1,3.6,Two Year,Fiber,0
20325,64,64684.0,2,1883.0,1,2.9,Two Year,Fiber,0
20326,29,48756.0,16,2382.0,2,3.4,Annual,Fiber,0
20327,29,58838.0,65,2917.0,1,2.4,Two Year,None,0
20328,19,63531.0,8,2085.0,0,4.0,Monthly,None,0
20329,24,34298.0,30,1793.0,4,4.1,Annual,Fiber,0
20330,44,35918.0,15,607.0,0,5.0,Annual,DSL,0
20331,44,73677.0,8,2649.0,3,3.0,,Fiber,1
20332,35,55591.0,31,2121.0,2,3.4,Monthly,Fiber,0
20333,32,20000.0,38,1491.0,2,3.1,Annual,DSL,0
20334,57,79127.0,13,2289.0,5,3.8,Two Year,Fiber,0
20335,40,69903.0,6,1791.0,0,3.9,Monthly,Fiber,0
20336,56,52150.0,10,1830.0,2,3.6,Two Year,DSL,0
20337,64,41297.0,47,2624.0,1,4.6,Monthly,Fiber,0
20338,33,80045.0,62,1263.0,0,3.0,Monthly,DSL,0
20339,27,71288.0,13,2933.0,0,4.5,Monthly,Fiber,0
20340,63,107887.0,24,1222.0,4,4.1,Annual,Fiber,1
20341,48,72563.0,25,1736.0,3,3.6,Annual,Fiber,0
20342,31,71979.0,26,3546.0,1,3.3,Monthly,None,0
20343,47,61995.0,18,2989.0,6,5.0,Annual,Fiber,0
20344,42,79702.0,4,2268.0,2,2.9,Monthly,Fiber,0
20345,61,76252.0,38,1542.0,2,3.9,Monthly,DSL,0
20346,30,87531.0,26,1830.0,1,2.9,Two Year,None,0
20347,65,55616.0,25,2251.0,0,5.0,,None,0
20348,62,57163.0,20,2226.0,0,4.4,Annual,DSL,0
20349,26,56376.0,67,2136.0,2,3.0,Annual,Fiber,0
20350,25,79234.0,44,2178.0,1,4.1,Two Year,DSL,0
20351,43,91971.0,31,2050.0,0,3.8,Monthly,DSL,0
20352,20,56741.0,15,1191.0,3,3.1,Monthly,DSL,0
20353,32,57354.0,58,1838.0,1,4.3,Monthly,DSL,0
20354,38,70653.0,64,2840.0,2,4.0,Annual,Fiber,0
20355,64,60576.0,3,1242.0,5,3.8,Annual,Fiber,0
20356,65,82137.0,67,2067.0,0,3.6,Annual,DSL,0
20357,25,24468.0,51,1626.0,0,4.0,Monthly,Fiber,0
20358,60,50119.0,8,2278.0,0,3.8,Monthly,Fiber,0
20359,22,50917.0,55,1928.0,3,3.7,Annual,Fiber,0
20360,53,23234.0,8,3234.0,1,3.0,Two Year,DSL,0
20361,58,47655.0,4,2555.0,1,5.0,Monthly,DSL,0
20362,60,48527.0,9,1282.0,1,2.7,Monthly,DSL,0
20363,28,61380.0,34,2670.0,3,4.0,Monthly,DSL,0
20364,60,85033.0,45,1658.0,1,3.3,Monthly,DSL,0
20365,23,60589.0,30,1796.0,1,5.0,Monthly,DSL,0
20366,42,46445.0,9,2420.0,3,,Monthly,Fiber,0
20367,40,63975.0,15,1856.0,1,2.9,Annual,DSL,0
20368,33,83885.0,62,2825.0,1,2.7,Monthly,Fiber,0
20369,19,47433.0,70,1658.0,2,3.9,Monthly,Fiber,0
20370,55,48610.0,55,1767.0,4,2.4,Monthly,Fiber,1
20371,34,75054.0,8,1741.0,0,3.2,Two Year,DSL,0
20372,49,61012.0,60,1804.0,4,1.7,Monthly,DSL,0
20373,37,76655.0,50,2969.0,3,3.8,Monthly,None,0
20374,35,64754.0,38,2640.0,0,3.1,Monthly,None,0
20375,60,77630.0,11,3397.0,1,2.3,Annual,DSL,0
20376,22,46369.0,72,3787.0,2,4.6,Two Year,Fiber,0
20377,53,64782.0,32,1478.0,0,2.4,Monthly,DSL,0
20378,53,61208.0,4,2249.0,1,4.3,Monthly,DSL,0
20379,36,43114.0,16,1377.0,2,3.0,Monthly,DSL,0
20380,30,36857.0,29,1656.0,3,5.0,Annual,Fiber,0
20381,18,77343.0,5,1759.0,6,4.3,Two Year,Fiber,0
20382,62,58683.0,24,1460.0,2,2.7,Monthly,None,0
20383,63,46599.0,34,1464.0,1,2.8,Monthly,Fiber,0
20384,29,63269.0,69,2099.0,1,4.1,Annual,Fiber,0
20385,19,85304.0,7,1348.0,1,3.4,Annual,Fiber,0
20386,23,23947.0,42,2789.0,2,3.4,Monthly,Fiber,0
20387,21,38061.0,66,1558.0,2,4.7,Monthly,Fiber,0
20388,57,48388.0,59,4167.0,3,2.9,Monthly,None,0
20389,60,91301.0,67,1884.0,3,3.7,Annual,DSL,1
20390,25,70087.0,13,2250.0,2,4.5,Annual,None,0
20391,53,78812.0,58,1293.0,2,4.3,Annual,Fiber,0
20392,26,44477.0,71,3394.0,0,3.5,Annual,Fiber,0
20393,35,44848.0,24,2984.0,0,3.3,Monthly,Fiber,0
20394,46,73061.0,36,2408.0,1,2.0,Monthly,Fiber,0
20395,52,66049.0,39,1257.0,4,2.6,Monthly,Fiber,0
20396,59,74877.0,36,2347.0,0,3.9,Two Year,DSL,0
20397,20,61622.0,21,1415.0,1,3.5,Annual,None,0
20398,27,70007.0,70,3224.0,0,3.7,Monthly,Fiber,0
20399,31,67846.0,69,2766.0,1,4.5,Monthly,Fiber,0
20400,32,79000.0,28,2267.0,4,2.5,Annual,Fiber,0
20401,65,79526.0,58,500.0,3,3.4,Annual,Fiber,0
20402,55,35842.0,29,1512.0,2,3.8,Annual,Fiber,0
20403,33,24549.0,58,2681.0,1,3.0,Monthly,Fiber,0
20404,64,83031.0,43,3049.0,3,4.9,Two Year,Fiber,0
20405,41,86379.0,34,2976.0,3,4.4,Annual,Fiber,0
20406,42,46629.0,10,1086.0,0,3.9,Annual,DSL,0
20407,38,31523.0,48,2411.0,4,5.0,Annual,Fiber,0
20408,24,66783.0,24,2911.0,1,2.3,Two Year,Fiber,0
20409,62,,16,1039.0,0,3.6,Two Year,Fiber,0
